bedrooms,bathrooms,toilets,parking_space,property_type,town,state,price,price_per_room,total_rooms
4,4,5,6,Detached Duplex,Ajah,Lagos,400000,100000.0,19
2,2,3,6,Detached Bungalow,Epe,Lagos,120000,60000.0,13
1,1,1,1,Detached Duplex,Lekki,Lagos,2000000,2000000.0,4
3,4,5,4,Terraced Duplexes,Lokogoma District,Abuja,250000,83333.33333333333,16
6,6,6,4,Semi Detached Duplex,Oredo,Edo,450000,75000.0,22
3,4,4,3,Detached Bungalow,Mowe Ofada,Ogun,120000,40000.0,14
3,3,4,4,Detached Bungalow,Lokogoma District,Abuja,370000,123333.33333333333,14
4,5,5,2,Terraced Duplexes,Victoria Island (VI),Lagos,1300000,325000.0,16
5,6,7,6,Detached Duplex,Katampe,Abuja,1600000,320000.0,24
4,4,5,5,Detached Duplex,Lekki,Lagos,1800000,450000.0,18
4,4,5,4,Detached Duplex,Magodo,Lagos,1400000,350000.0,17
2,3,5,4,Block of Flats,Mowe Ofada,Ogun,70000,35000.0,14
5,5,6,6,Detached Duplex,Kaura,Abuja,1500000,300000.0,22
4,4,5,8,Detached Duplex,Galadimawa,Abuja,700000,175000.0,21
5,5,6,1,Detached Duplex,Oredo,Edo,700000,140000.0,17
6,6,7,8,Detached Duplex,Gwarinpa,Abuja,1300000,216666.66666666666,27
4,5,5,4,Semi Detached Duplex,Gwarinpa,Abuja,750000,187500.0,18
2,2,3,4,Terraced Duplexes,Lekki,Lagos,530000,265000.0,11
5,5,5,4,Detached Bungalow,Katampe,Abuja,1300000,260000.0,19
3,3,4,4,Block of Flats,Lekki,Lagos,255000,85000.0,14
4,4,5,3,Semi Detached Duplex,Ajah,Lagos,600000,150000.0,16
2,2,2,4,Detached Bungalow,Abeokuta North,Ogun,40000,20000.0,10
8,8,8,4,Block of Flats,Oredo,Edo,360000,45000.0,28
4,4,5,1,Semi Detached Duplex,Galadimawa,Abuja,500000,125000.0,14
3,4,4,6,Detached Duplex,Lugbe District,Abuja,300000,100000.0,17
2,3,3,3,Semi Detached Bungalow,Ibeju Lekki,Lagos,120000,60000.0,11
2,2,3,1,Semi Detached Bungalow,Epe,Lagos,120000,60000.0,8
4,4,4,5,Detached Duplex,Ajah,Lagos,500000,125000.0,17
4,2,2,4,Semi Detached Bungalow,Yaba,Lagos,400000,100000.0,12
4,5,6,4,Terraced Duplexes,Katampe,Abuja,1310000,327500.0,19
1,2,2,1,Block of Flats,Sango Ota,Ogun,69000,69000.0,6
3,3,4,4,Detached Bungalow,Ifako-Ijaiye,Lagos,125000,41666.666666666664,14
4,4,5,4,Detached Duplex,Agege,Lagos,600000,150000.0,17
2,5,5,4,Block of Flats,Ikorodu,Lagos,225000,112500.0,16
5,5,6,2,Terraced Duplexes,Kaura,Abuja,700000,140000.0,18
4,2,2,1,Terraced Bungalow,Sango Ota,Ogun,50000,12500.0,9
4,5,5,4,Detached Duplex,Orozo,Abuja,525000,131250.0,18
5,5,5,1,Detached Bungalow,Ifo,Ogun,150000,30000.0,16
5,3,3,4,Detached Duplex,Owerri North,Imo,500000,100000.0,15
4,4,5,4,Terraced Duplexes,Ajah,Lagos,298000,74500.0,17
5,6,8,1,Detached Duplex,Guzape District,Abuja,2800000,560000.0,20
5,5,6,4,Detached Duplex,Lekki,Anambara,2600000,520000.0,20
